file,commits
Source/SGDLib/SGD.cpp, 582
CNTK.sln, 578
Makefile, 578
Source/ComputationNetworkLib/ComputationNode.h, 490
MachineLearning/CNTKComputationNetworkLib/ComputationNode.h, 487
MachineLearning/CNTKComputationNetworkLib/ComputationNetwork.h, 408
Source/CNTK/BrainScript/CNTKCoreLib/CNTK.core.bs, 383
Math/Math/Matrix.cpp, 376
Source/CNTKv2LibraryDll/API/CNTKLibrary.h, 355
Source/Math/GPUMatrix.cu, 345
MachineLearning/CNTKSGDLib/SGD.cpp, 335
Math/Math/Matrix.h, 335
Source/CNTK/CNTK.cpp, 325
Math/Math/GPUMatrix.cu, 321
Source/ComputationNetworkLib/TrainingNodes.h, 317
Source/Math/Matrix.cpp, 314
Source/ComputationNetworkLib/LinearAlgebraNodes.h, 305
bindings/python/cntk/ops/__init__.py, 271
Source/Math/CPUMatrix.cpp, 263
Source/CNTKv2LibraryDll/Function.cpp, 254
MachineLearning/CNTK/CNTK.cpp, 252
Math/Math/CPUMatrix.cpp, 235
MachineLearning/CNTKComputationNetworkLib/LinearAlgebraNodes.h, 235
bindings/python/cntk/ops/functions.py, 234
Math/Math/GPUSparseMatrix.cu, 234
DataReader/HTKMLFReader/HTKMLFReader.cpp, 233
MachineLearning/CNTK/ComputationNetwork.h, 226
MachineLearning/CNTKComputationNetworkLib/ComputationNetwork.cpp, 224
Source/ComputationNetworkLib/ComputationNetwork.h, 220
MachineLearning/CNTKComputationNetworkLib/TrainingCriterionNodes.h, 219
bindings/python/cntk/utils/__init__.py, 217
Source/ComputationNetworkLib/NonlinearityNodes.h, 214
MachineLearning/CNTK/SGD.h, 211
MachineLearning/CNTKComputationNetworkLib/RecurrentNodes.h, 210
Math/Math/GPUMatrixCUDAKernels.cu, 202
Source/ComputationNetworkLib/ComputationNetworkBuilder.cpp, 197
MachineLearning/CNTKComputationNetworkLib/ConvolutionalNodes.h, 197
Source/ComputationNetworkLib/ComputationNetworkEvaluation.cpp, 193
Source/ComputationNetworkLib/InputAndParamNodes.h, 193
Source/Math/Matrix.h, 191
Source/Math/GPUMatrix.h, 186
Source/ComputationNetworkLib/ConvolutionalNodes.h, 182
Source/Math/GPUSparseMatrix.cu, 173
MachineLearning/CNTKComputationNetworkLib/InputAndParamNodes.h, 172
Source/Math/CommonMatrix.h, 172
Source/SGDLib/SGD.h, 171
Source/ComputationNetworkLib/ReshapingNodes.h, 163
Source/Math/NoGPU.cpp, 162
Math/Math/GPUMatrix.h, 161
Common/Include/basetypes.h, 160
Source/ComputationNetworkLib/ComputationNetwork.cpp, 159
Examples/SequenceToSequence/CMUDict/Python/Sequence2Sequence.py, 158
Source/ComputationNetworkLib/ComputationNode.cpp, 158
Source/Math/GPUMatrixCUDAKernels.cuh, 157
MachineLearning/CNTK/ComputationNode.h, 156
MachineLearning/CNTK/CNTK.vcxproj, 155
Source/1BitSGD, 152
DataReader/LMSequenceReader/SequenceReader.cpp, 151
Source/ComputationNetworkLib/ComputationNetworkBuilder.h, 150
bindings/python/cntk/layers.py, 149
DataReader/LUSequenceReader/LUSequenceReader.cpp, 148
Tests/UnitTests/ReaderTests/ReaderTests.vcxproj, 148
Math/Math/CPUMatrix.h, 148
Math/Math/NoGPU.cpp, 148
MachineLearning/CNTKComputationNetworkLib/NonlinearityNodes.h, 144
MachineLearning/CNTK/RecurrentNodes.h, 144
MachineLearning/CNTKComputationNetworkLib/CompositeComputationNodes.h, 142
Math/Math/CPUSparseMatrix.cpp, 138
MachineLearning/ParseConfig/main.cpp, 136
Common/Include/Sequences.h, 136
Source/Math/Math.vcxproj, 136
Source/Math/GPUTensor.cu, 131
Tests/UnitTests/MathTests/MathTests.vcxproj, 130
MachineLearning/CNTK/ExperimentalNetworkBuilder.cpp, 129
MachineLearning/CNTKComputationNetworkLib/ComputationNetworkEvaluation.cpp, 128
Source/Math/TensorView.cpp, 128
MachineLearning/cn/ComputationNode.h, 127
MachineLearning/CNTK/TrainingCriterionNodes.h, 123
MachineLearning/cn/SGD.h, 122
