file,commits
src/main.rs, 121
src/term.rs, 64
src/renderer/mod.rs, 60
src/ansi.rs, 54
src/term/mod.rs, 54
src/input.rs, 53
Cargo.toml, 51
src/config.rs, 50
Cargo.lock, 50
README.md, 36
src/event.rs, 35
src/grid.rs, 34
src/tty.rs, 24
alacritty.yml, 24
src/lib.rs, 20
src/display.rs, 17
alacritty_macos.yml, 14
src/event_loop.rs, 13
font/src/darwin/mod.rs, 13
src/util.rs, 13
src/text.rs, 12
font/src/lib.rs, 12
tests/ref.rs, 12
res/text.f.glsl, 12
src/index.rs, 11
res/text.v.glsl, 11
src/term/cell.rs, 10
src/macros.rs, 9
font/src/ft/mod.rs, 9
.travis.yml, 9
src/window.rs, 8
src/cli.rs, 8
font/src/ft/list_fonts.rs, 7
src/selection.rs, 6
rustc-version, 6
src/meter.rs, 6
copypasta/src/macos.rs, 5
copypasta/src/lib.rs, 5
src/list_fonts.rs, 5
src/logging.rs, 4
copypasta/src/x11.rs, 4
.gitignore, 4
font/Cargo.toml, 4
font/Cargo.lock, 3
src/io.rs, 2
font/src/darwin/byte_order.rs, 2
build.rs, 2
LICENSE-APACHE, 2
src/sync.rs, 2
tests/ref/ll/grid.json, 2
tests/ref/vim_large_window_scroll/grid.json, 2
TASKS.md, 2
font/src/darwin/cg_color.rs, 2
copypasta/Cargo.toml, 2
tests/ref/tmux_git_log/grid.json, 2
tests/ref/tmux_htop/grid.json, 2
tests/ref/vim_simple_edit/grid.json, 2
copypasta/Cargo.lock, 2
tests/ref/vim_large_window_scroll/alacritty.recording, 1
docs/ansicode.txt, 1
tests/ref/zsh_tab_completion/alacritty.recording, 1
tests/ref/indexed_256_colors/alacritty.recording, 1
ffi-util/Cargo.toml, 1
tests/ref/tmux_htop/size.json, 1
tests/ref/line_wrap/alacritty.recording, 1
Alacritty.desktop, 1
ffi-util/src/lib.rs, 1
tests/ref/vim_simple_edit/size.json, 1
tests/ref/indexed_256_colors/grid.json, 1
tests/ref/ll/size.json, 1
tests/ref/tmux_git_log/size.json, 1
scripts/create-flamegraph.sh, 1
scripts/README.md, 1
tests/ref/fish_cc/grid.json, 1
tests/ref/vim_large_window_scroll/size.json, 1
tests/ref/zsh_tab_completion/grid.json, 1
tests/ref/ll/alacritty.recording, 1
src/term/color.rs, 1
tests/ref/line_wrap/size.json, 1
scripts/ubuntu-install-perf.sh, 1
tests/ref/tmux_htop/alacritty.recording, 1
tests/ref/fish_cc/alacritty.recording, 1
tests/ref/indexed_256_colors/size.json, 1
tests/ref/line_wrap/grid.json, 1
tests/ref/vim_simple_edit/alacritty.recording, 1
.agignore, 1
copypasta/LICENSE-APACHE, 1
tests/ref/fish_cc/size.json, 1
tests/ref/zsh_tab_completion/size.json, 1
tests/ref/tmux_git_log/alacritty.recording, 1
