file,commits
commands.go, 692
hack/vendor.sh, 671
daemon/daemon.go, 631
contrib/completion/bash/docker, 557
integration-cli/docker_cli_run_test.go, 538
server.go, 468
integration-cli/docker_cli_build_test.go, 444
container.go, 433
contrib/completion/zsh/_docker, 389
docs/sources/reference/commandline/cli.md, 356
Dockerfile, 349
daemon/container.go, 332
api.go, 332
api/server/server.go, 326
runtime.go, 275
CHANGELOG.md, 272
api/client/commands.go, 269
docker/docker.go, 257
daemon/daemon_unix.go, 231
utils/utils.go, 229
integration-cli/docker_cli_daemon_test.go, 225
integration-cli/docker_utils.go, 215
hack/make.sh, 202
docs/reference/api/docker_remote_api_v1.24.md, 200
VERSION, 200
registry/registry.go, 198
docs/reference/api/docker_remote_api.md, 198
daemon/graphdriver/devmapper/deviceset.go, 194
runconfig/parse.go, 190
Makefile, 189
integration-cli/docker_api_containers_test.go, 185
README.md, 180
runtime_test.go, 178
docs/reference/run.md, 167
docs/reference/api/docker_remote_api_v1.25.md, 162
docs/reference/api/docker_remote_api_v1.22.md, 150
buildfile.go, 148
docs/reference/api/docker_remote_api_v1.21.md, 147
daemon/create.go, 147
integration-cli/docker_cli_network_unix_test.go, 146
daemon/volumes.go, 146
api/types/types.go, 145
daemon/cluster/cluster.go, 143
server/server.go, 142
integration-cli/docker_cli_run_unix_test.go, 141
vendor.conf, 138
docs/reference/commandline/run.md, 137
Dockerfile.ppc64le, 136
daemon/container_unix.go, 125
api/swagger.yaml, 125
utils.go, 124
integration-cli/docker_cli_events_test.go, 123
daemon/config.go, 121
Dockerfile.armhf, 120
docker/daemon.go, 119
daemon/exec.go, 117
Dockerfile.s390x, 117
docs/reference/api/docker_remote_api_v1.23.md, 117
hack/install.sh, 116
image.go, 116
network.go, 115
api/client/utils.go, 115
daemon/execdriver/native/driver.go, 115
builder/internals.go, 115
graph/pull.go, 114
docs/sources/reference/run.md, 113
daemon/list.go, 113
daemon/daemon_windows.go, 110
docs/reference/builder.md, 109
docs/reference/api/docker_remote_api_v1.20.md, 108
Dockerfile.aarch64, 108
container_test.go, 108
api_test.go, 107
daemon/info.go, 107
integration-cli/docker_cli_swarm_test.go, 106
daemon/start.go, 105
MAINTAINERS, 103
daemon/container_operations_unix.go, 103
docs/mkdocs.yml, 101
graph/graph.go, 101
docs/reference/commandline/daemon.md, 100
docs/reference/commandline/service_create.md, 100
integration-cli/docker_cli_exec_test.go, 100
api/client/cli.go, 98
daemon/execdriver/native/create.go, 98
integration-cli/docker_cli_ps_test.go, 98
man/docker-run.1.md, 96
graph.go, 95
CONTRIBUTING.md, 94
integration-cli/docker_cli_push_test.go, 93
graph/push.go, 92
docs/sources/reference/api/docker_remote_api.md, 91
api/client/build.go, 91
daemon/graphdriver/aufs/aufs.go, 91
docs/sources/reference/builder.md, 90
pkg/archive/archive.go, 88
docs/sources/reference/commandline/cli.rst, 88
docs/reference/api/docker_remote_api_v1.19.md, 88
docs/reference/commandline/dockerd.md, 87
registry/registry_test.go, 86
runconfig/hostconfig.go, 86
daemon/monitor.go, 84
daemon/delete.go, 83
docs/reference/api/docker_remote_api_v1.18.md, 82
daemon/inspect.go, 80
hack/release.sh, 80
runconfig/opts/parse.go, 79
docs/sources/commandline/cli.rst, 79
api_params.go, 79
daemon/execdriver/lxc/driver.go, 78
docs/reference/commandline/create.md, 78
Dockerfile.simple, 78
docs/README.md, 77
registry.go, 77
builder/dockerfile/internals.go, 77
registry/session.go, 77
container/container.go, 77
integration/runtime_test.go, 76
daemon/networkdriver/bridge/driver.go, 76
integration-cli/docker_api_swarm_test.go, 76
pkg/libcontainer/nsinit/init.go, 76
docs/reference/commandline/service_update.md, 76
opts/opts.go, 75
integration-cli/docker_cli_inspect_test.go, 75
docs/man/docker-run.1.md, 74
vendor/src/github.com/docker/libnetwork/controller.go, 74
integration-cli/docker_cli_pull_test.go, 74
daemon/image_delete.go, 73
daemon/execdriver/driver.go, 73
AUTHORS, 73
docs/Dockerfile, 72
api/server/router/network/network_routes.go, 72
man/docker-create.1.md, 72
api/client/info.go, 71
builder/evaluator.go, 71
docs/sources/api/docker_remote_api.rst, 71
integration/server_test.go, 70
integration/commands_test.go, 70
dockerd/dockerd.go, 70
daemon/network.go, 69
registry/service.go, 69
vendor/src/github.com/docker/libnetwork/sandbox.go, 69
integration-cli/docker_cli_create_test.go, 69
container/container_unix.go, 69
api/client/service/opts.go, 69
integration/api_test.go, 68
