file,commits
lib/DDG/Meta/Data.pm, 105
lib/DDG/Rewrite.pm, 63
dist.ini, 59
lib/DDG/Meta.pm, 46
README.md, 42
lib/DDG/Meta/ZeroClickInfoSpice.pm, 39
t/55-rewrite.t, 31
lib/DDG/Request.pm, 28
lib/DDG/Block.pm, 27
t/50-spice.t, 26
t/35-block.t, 26
lib/DDG/Test/Goodie.pm, 24
lib/DDG/Meta/RequestHandler.pm, 20
lib/DDG/Manual/Translation.pod, 20
lib/DDG/Block/Words.pm, 19
t/15-request.t, 18
lib/DDG/Meta/ShareDir.pm, 17
.travis.yml, 16
lib/DDG/Meta/Information.pm, 16
lib/DDG/Meta/ZeroClickInfo.pm, 15
t/40-goodie.t, 15
lib/DDG/Test/Spice.pm, 13
lib/DDG/ZeroClickInfo/Spice.pm, 13
lib/DDG/Meta/Block.pm, 13
lib/DDG/Test/Location.pm, 12
lib/DDG/Goodie.pm, 11
lib/DDG/Spice.pm, 10
t/10-meta.t, 10
lib/DDG/Location.pm, 10
CONTRIBUTING.md, 10
lib/DDG/Block/Regexp.pm, 9
lib/DDG/Test/Block.pm, 9
lib/DDG/ZeroClickInfo.pm, 9
documentation/getting_started.md, 9
lib/DDG/IsControllable.pm, 9
lib/DDG/Meta/Helper.pm, 8
t/lib/DDGTest/Spice/Words.pm, 8
Advanced.md, 7
documentation/testing.md, 7
lib/DDG/App/Attribution.pm, 7
t/00-load.t, 7
lib/DDG/Language.pm, 6
documentation/spice2.md, 6
t/lib/DDGTest/Goodie/MetaOnly.pm, 6
t/lib/DDGTest/Goodie/WoBlockTwo.pm, 5
t/20-location.t, 5
lib/DDG/Block/Blockable.pm, 5
lib/DDG.pm, 5
t/data/gettext_test.html, 5
lib/DDG/Block/Hash.pm, 5
lib/DDG/Block/Any.pm, 5
t/10-gettext.t, 5
documentation/faq.md, 5
lib/DDG/Block/Blockable/Triggers.pm, 5
lib/DDG/Manual.pod, 5
lib/DDG/Util/Translate.pm, 5
lib/DDG/ZeroClickInfo/Fathead.pm, 5
documentation/general.md, 5
t/lib/DDGTest/Goodie/Regexp.pm, 5
documentation/spice_overview.md, 4
lib/DDG/HasShareDir.pm, 4
lib/DDG/IsSpice.pm, 4
lib/DDG/Site/DuckDuckGo.pm, 4
lib/DDG/Site.pm, 4
weaver.ini, 4
t/lib/DDGTest/Goodie/Words.pm, 4
lib/DDG/Meta/Attribution.pm, 4
lib/DDG/Test.pm, 4
lib/DDG/IsGoodie.pm, 4
t/lib/DDGTest/Goodie/WrongFour.pm, 4
t/lib/DDGTest/Goodie/Changequery.pm, 4
lib/DDG/App/GenerateStatic.pm, 4
lib/DDG/Meta/CountryCodes.pm, 4
share/js/ddg_translate.js, 4
t/30-generate-testsite.t, 4
t/lib/DDGTest/Goodie/ReBlockOne.pm, 4
t/lib/DDGTest/Goodie/WoBlockOne.pm, 4
share/templates/duckduckgo/settings.tt, 3
t/lib/DDGTest/Goodie/WoBlockBang.pm, 3
t/lib/DDGTest/Goodie/WrongTwo.pm, 3
t/data/locale/de_DE/LC_MESSAGES/test.json, 3
t/lib/DDGTest/Goodie/WoBlockThree.pm, 3
lib/DDG/Query.pm, 3
lib/DDG/IsFathead.pm, 3
script/ddg_generatestatic.pl, 3
documentation/goodies_overview.md, 3
lib/DDG/IsLongtail.pm, 3
t/lib/DDGTest/Goodie/TriggerOverlap.pm, 3
t/data/locale/de_DE/LC_MESSAGES/test.po, 3
.gitignore, 3
t/lib/DDGTest/Goodie/WrongOne.pm, 3
lib/DDG/HasAttribution.pm, 3
t/lib/DDGTest/Goodie/CollideOne.pm, 3
t/lib/DDGTest/Goodie/WrongThree.pm, 3
lib/DDG/Plugin.pm, 3
documentation/spice.md, 3
share/templates/duckduckgo/index.tt, 3
t/lib/DDGTest/Goodie/Location.pm, 3
bin/ddg_attribution, 3
lib/DDG/ZeroClickInfo/Spice/Data.pm, 3
t/lib/DDGTest/Goodie/CollideTwo.pm, 3
t/lib/DDGTest/Spice/Regexp.pm, 3
t/lib/DDGTest/Goodie/Language.pm, 2
lib/DDG/Dir/Static.pm, 2
lib/DDG/Plugin/ZeroClickInfo.pm, 2
Metadata.md, 2
t/lib/DDGTest/Goodie/Request.pm, 2
lib/DDG/Meta/AnyBlock.pm, 2
documentation/advanced.md, 2
lib/DDG/Plugin/Sample/Regexp.pm, 2
README, 2
t/data/ddg_translate_test.html, 2
lib/DDG/Region.pm, 2
lib/DDG/Longtail.pm, 2
t/45-any.t, 2
lib/DDG/Plugin/Sample/Hash.pm, 2
share/templates/duckduckgo/settings/category.tt, 2
t/lib/DDGTest/Spice/ChangeCached.pm, 2
share/templates/duckduckgo/head/settings.tt, 2
t/lib/DDGTest/Goodie/WoBlockArr.pm, 2
lib/DDG/Goodie/Role.pm, 2
t/14-meta-helpers.t, 2
