"commit" "degree" "betweenness" "closeness" "distance" "diameter" "network.size" "connected.rate" "cc.size" "transitivity"
"1" 3 0 0 1.47362216327734e-05 NA 0 261 0.00383141762452107 1 NA
"2" 4 0 0 1.47362216327734e-05 NA 0 261 0.00383141762452107 1 NA
"3" 5 0 0 1.47362216327734e-05 NA 0 261 0.00383141762452107 1 NA
"4" 6 0 0 1.47362216327734e-05 NA 0 261 0.00383141762452107 1 NA
"5" 7 0 0 1.47362216327734e-05 NA 0 261 0.00383141762452107 1 NA
"6" 8 0 0 1.47362216327734e-05 NA 0 261 0.00383141762452107 1 NA
"7" 9 0 0 1.47362216327734e-05 NA 0 261 0.00383141762452107 1 NA
"8" 10 0.0766283524904215 0 1.47406154552856e-05 1 1 261 0.0191570881226054 5 1
"9" 11 0.0766283524904215 0 1.47406154552856e-05 1 1 261 0.0191570881226054 5 1
"10" 12 0.0766283524904215 0 1.47406154552856e-05 1 1 261 0.0191570881226054 5 1
"11" 13 0.0842911877394636 0.0153256704980843 1.47428311931816e-05 1.26666666666667 2 261 0.0229885057471264 6 0.882352941176471
"12" 14 0.0842911877394636 0.0153256704980843 1.47428311931816e-05 1.26666666666667 2 261 0.0229885057471264 6 0.882352941176471
"13" 15 0.0919540229885057 0.0153256704980843 1.47428311931816e-05 1.26666666666667 2 261 0.0229885057471264 6 0.882352941176471
"14" 16 0.0919540229885057 0.0153256704980843 1.47428311931816e-05 1.26666666666667 2 261 0.0229885057471264 6 0.882352941176471
"15" 17 0.0919540229885057 0.0153256704980843 1.47428311931816e-05 1.26666666666667 2 261 0.0229885057471264 6 0.882352941176471
"16" 18 0.0919540229885057 0.0153256704980843 1.47428311931816e-05 1.26666666666667 2 261 0.0229885057471264 6 0.882352941176471
"17" 19 0.0996168582375479 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"18" 20 0.0996168582375479 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"19" 21 0.0996168582375479 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"20" 22 0.0996168582375479 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"21" 23 0.0996168582375479 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"22" 24 0.0996168582375479 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"23" 25 0.0996168582375479 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"24" 26 0.10727969348659 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"25" 27 0.10727969348659 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"26" 28 0.10727969348659 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"27" 29 0.10727969348659 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"28" 30 0.114942528735632 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"29" 31 0.122605363984674 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"30" 32 0.122605363984674 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"31" 33 0.122605363984674 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"32" 34 0.122605363984674 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"33" 35 0.122605363984674 0.0153256704980843 1.47432655056376e-05 1.25 2 261 0.0229885057471264 6 0.882352941176471
"34" 36 0.199233716475096 0.0383141762452107 1.47490863866187e-05 1.3448275862069 2 261 0.0306513409961686 8 0.76
"35" 37 0.206896551724138 0.0383141762452107 1.47490863866187e-05 1.3448275862069 2 261 0.0306513409961686 8 0.76
"36" 38 0.206896551724138 0.0383141762452107 1.47490863866187e-05 1.3448275862069 2 261 0.0306513409961686 8 0.76
"37" 39 0.206896551724138 0.0383141762452107 1.47490863866187e-05 1.3448275862069 2 261 0.0306513409961686 8 0.76
"38" 40 0.206896551724138 0.0383141762452107 1.47490863866187e-05 1.3448275862069 2 261 0.0306513409961686 8 0.76
"39" 41 0.21455938697318 0.0689655172413793 1.47526919153511e-05 1.48648648648649 3 261 0.0344827586206897 9 0.703703703703704
"40" 42 0.21455938697318 0.0689655172413793 1.47526919153511e-05 1.48648648648649 3 261 0.0344827586206897 9 0.703703703703704
"41" 43 0.260536398467433 0.153256704980843 1.47608933702784e-05 1.72727272727273 4 261 0.0421455938697318 11 0.627272727272727
"42" 44 0.260536398467433 0.153256704980843 1.47608933702784e-05 1.72727272727273 4 261 0.0421455938697318 11 0.627272727272727
"43" 45 0.260536398467433 0.153256704980843 1.47608933702784e-05 1.72727272727273 4 261 0.0421455938697318 11 0.627272727272727
"44" 46 0.260536398467433 0.153256704980843 1.47608933702784e-05 1.72727272727273 4 261 0.0421455938697318 11 0.627272727272727
"45" 47 0.260536398467433 0.153256704980843 1.47608933702784e-05 1.72727272727273 4 261 0.0421455938697318 11 0.627272727272727
"46" 48 8.90421455938697 0.153256704980843 1.53561043847722e-05 1.03381234150465 4 261 0.0421455938697318 11 0.999211508134928
"47" 49 8.90421455938697 0.153256704980843 1.53561043847722e-05 1.03381234150465 4 261 0.0421455938697318 11 0.999211508134928
"48" 50 8.90421455938697 0.153256704980843 1.53561043847722e-05 1.03381234150465 4 261 0.0421455938697318 11 0.999211508134928
"49" 51 8.90421455938697 0.153256704980843 1.53561043847722e-05 1.03381234150465 4 261 0.0421455938697318 11 0.999211508134928
"50" 52 8.91187739463602 0.153256704980843 1.53561043847722e-05 1.03381234150465 4 261 0.0421455938697318 11 0.999211508134928
"51" 53 8.91954022988506 0.153256704980843 1.53561043847722e-05 1.03381234150465 4 261 0.0421455938697318 11 0.999211508134928
"52" 54 8.91954022988506 0.153256704980843 1.53561043847722e-05 1.03381234150465 4 261 0.0421455938697318 11 0.999211508134928
"53" 55 8.91954022988506 0.153256704980843 1.53561043847722e-05 1.03381234150465 4 261 0.0421455938697318 11 0.999211508134928
"54" 56 8.91954022988506 0.153256704980843 1.53561043847722e-05 1.03381234150465 4 261 0.0421455938697318 11 0.999211508134928
"55" 57 8.91954022988506 0.153256704980843 1.53561043847722e-05 1.03381234150465 4 261 0.0421455938697318 11 0.999211508134928
