"commit" "degree" "betweenness" "closeness" "distance" "diameter" "network.size" "connected.rate" "cc.size" "transitivity"
"1" 3 0.541436464088398 0.165745856353591 3.08498527834983e-05 1.38461538461538 2 181 0.0718232044198895 13 0.81981981981982
"2" 4 0.850828729281768 0.629834254143646 3.10899726097501e-05 1.6 2 181 0.110497237569061 20 0.753846153846154
"3" 5 1.01657458563536 0.939226519337017 3.11810711452946e-05 1.73593073593074 3 181 0.121546961325967 22 0.735338345864662
"4" 6 1.02762430939227 0.939226519337017 3.11810711452946e-05 1.73593073593074 3 181 0.121546961325967 22 0.735338345864662
"5" 7 1.02762430939227 0.939226519337017 3.11810711452946e-05 1.73593073593074 3 181 0.121546961325967 22 0.735338345864662
"6" 8 1.6353591160221 1.03314917127072 3.13391613606964e-05 1.62333333333333 3 181 0.138121546961326 25 0.71824480369515
"7" 9 1.70165745856354 1.39779005524862 3.14581141516811e-05 1.72079772079772 3 181 0.149171270718232 27 0.697416974169742
"8" 10 1.71270718232044 1.39779005524862 3.14581141516811e-05 1.72079772079772 3 181 0.149171270718232 27 0.697416974169742
"9" 11 1.71270718232044 1.39779005524862 3.14581141516811e-05 1.72079772079772 3 181 0.149171270718232 27 0.697416974169742
"10" 12 1.71270718232044 1.39779005524862 3.14581141516811e-05 1.72079772079772 3 181 0.149171270718232 27 0.697416974169742
"11" 13 1.71270718232044 1.39779005524862 3.14581141516811e-05 1.72079772079772 3 181 0.149171270718232 27 0.697416974169742
"12" 14 1.71270718232044 1.39779005524862 3.14581141516811e-05 1.72079772079772 3 181 0.149171270718232 27 0.697416974169742
"13" 15 1.72375690607735 1.60773480662983 3.15219714689373e-05 1.76984126984127 3 181 0.154696132596685 28 0.690284879474069
"14" 16 1.73480662983425 1.95027624309392 3.15885240392229e-05 1.86945812807882 4 181 0.160220994475138 29 0.688775510204082
"15" 17 1.74585635359116 1.95027624309392 3.15885240392229e-05 1.86945812807882 4 181 0.160220994475138 29 0.688775510204082
"16" 18 1.74585635359116 1.95027624309392 3.15885240392229e-05 1.86945812807882 4 181 0.160220994475138 29 0.688775510204082
"17" 19 1.91160220994475 1.95027624309392 3.16174294357911e-05 1.83847980997625 4 181 0.160220994475138 29 0.701815642458101
"18" 20 2.64088397790055 2.67955801104972 3.20588089320345e-05 1.81512605042017 4 181 0.193370165745856 35 0.670186839967506
"19" 21 2.65193370165746 2.66850828729282 3.20588404384028e-05 1.81176470588235 4 181 0.193370165745856 35 0.669203043652383
"20" 22 2.65193370165746 2.66850828729282 3.20588404384028e-05 1.81176470588235 4 181 0.193370165745856 35 0.669203043652383
"21" 23 2.88397790055249 3.20441988950276 3.22420637718341e-05 1.87087087087087 4 181 0.204419889502762 37 0.659621802002225
"22" 24 2.88397790055249 3.20441988950276 3.22420637718341e-05 1.87087087087087 4 181 0.204419889502762 37 0.659621802002225
"23" 25 3.49171270718232 3.8232044198895 3.2654224989744e-05 1.84390243902439 4 181 0.226519337016575 41 0.651571964234208
"24" 26 4.35359116022099 6.74033149171271 3.41285104201007e-05 1.92006033182504 4 181 0.287292817679558 52 0.648159700561447
"25" 27 4.66298342541436 6.74033149171271 3.41285104201007e-05 1.92006033182504 4 181 0.287292817679558 52 0.648159700561447
"26" 28 4.7292817679558 6.70718232044199 3.41286310106355e-05 1.91553544494721 4 181 0.287292817679558 52 0.642725220603324
"27" 29 4.7292817679558 6.70718232044199 3.41286310106355e-05 1.91553544494721 4 181 0.287292817679558 52 0.642725220603324
"28" 30 4.7292817679558 6.70718232044199 3.41286310106355e-05 1.91553544494721 4 181 0.287292817679558 52 0.642725220603324
"29" 31 4.96132596685083 7.01104972375691 3.42906590738914e-05 1.92089985486212 4 181 0.292817679558011 53 0.636545782408335
"30" 32 4.99447513812155 8.11602209944751 3.46284266850156e-05 1.98922558922559 5 181 0.303867403314917 55 0.633466135458167
"31" 33 5.30386740331492 12.1381215469613 3.59863778365905e-05 2.16181914331042 5 181 0.342541436464088 62 0.634211024815306
"32" 34 5.30386740331492 12.1381215469613 3.59863778365905e-05 2.16181914331042 5 181 0.342541436464088 62 0.634211024815306
"33" 35 5.33701657458564 13.0441988950276 3.62031988304489e-05 2.20890937019969 6 181 0.348066298342541 63 0.632980732905176
"34" 36 5.50276243093923 13.939226519337 3.64265439719975e-05 2.2514880952381 6 181 0.353591160220994 64 0.63314606741573
"35" 37 5.53591160220994 13.939226519337 3.64265439719975e-05 2.2514880952381 6 181 0.353591160220994 64 0.63314606741573
"36" 38 5.93370165745856 16.3204419889503 3.73937032786358e-05 2.29675153643547 6 181 0.375690607734807 68 0.623772609819121
"37" 39 5.93370165745856 16.3204419889503 3.73937032786358e-05 2.29675153643547 6 181 0.375690607734807 68 0.623772609819121
"38" 40 6 17.2486187845304 3.76519549357379e-05 2.3307757885763 6 181 0.38121546961326 69 0.621256204004792
"39" 41 7.16022099447514 19.3093922651934 3.90740789546696e-05 2.29396519807479 6 181 0.408839779005525 74 0.643129286258572
"40" 42 7.16022099447514 19.3093922651934 3.90740789546696e-05 2.29396519807479 6 181 0.408839779005525 74 0.643129286258572
"41" 43 7.16022099447514 19.3093922651934 3.90740789546696e-05 2.29396519807479 6 181 0.408839779005525 74 0.643129286258572
"42" 44 7.32596685082873 19.2651933701657 3.9074310149138e-05 2.29100333209922 6 181 0.408839779005525 74 0.645277398535435
"43" 45 7.32596685082873 19.2651933701657 3.9074310149138e-05 2.29100333209922 6 181 0.408839779005525 74 0.645277398535435
"44" 46 7.32596685082873 19.2651933701657 3.9074310149138e-05 2.29100333209922 6 181 0.408839779005525 74 0.645277398535435
"45" 47 7.33701657458564 19.2651933701657 3.9074310149138e-05 2.29100333209922 6 181 0.408839779005525 74 0.645277398535435
"46" 48 7.37016574585635 19.2651933701657 3.9074310149138e-05 2.29100333209922 6 181 0.408839779005525 74 0.645277398535435
"47" 49 7.37016574585635 19.2651933701657 3.9074310149138e-05 2.29100333209922 6 181 0.408839779005525 74 0.645277398535435
"48" 50 7.43646408839779 18.6022099447514 3.90777871704096e-05 2.24657534246575 6 181 0.408839779005525 74 0.635503819570753
"49" 51 8.04419889502763 20.2762430939227 4.00319353562851e-05 2.25427204374573 6 181 0.425414364640884 77 0.625255678759823
"50" 52 8.9060773480663 21.1933701657459 4.10758493738287e-05 2.21392405063291 6 181 0.441988950276243 80 0.617216959440817
"51" 53 9.13812154696133 22.5801104972376 4.18185184853133e-05 2.23065341764529 6 181 0.453038674033149 82 0.610593296289658
"52" 54 9.14917127071823 22.5801104972376 4.18185184853133e-05 2.23065341764529 6 181 0.453038674033149 82 0.610593296289658
"53" 55 9.14917127071823 22.5801104972376 4.18185184853133e-05 2.23065341764529 6 181 0.453038674033149 82 0.610593296289658
"54" 56 9.25966850828729 22.5414364640884 4.18187544671139e-05 2.22854561878952 6 181 0.453038674033149 82 0.612348088352701
"55" 57 9.32596685082873 23.3093922651934 4.22058548302694e-05 2.23978842198061 6 181 0.458563535911602 83 0.609201480698043
"56" 58 9.32596685082873 23.3093922651934 4.22058548302694e-05 2.23978842198061 6 181 0.458563535911602 83 0.609201480698043
"57" 59 9.32596685082873 23.3093922651934 4.22058548302694e-05 2.23978842198061 6 181 0.458563535911602 83 0.609201480698043
"58" 60 9.93370165745856 23.1160220994475 4.22070575956769e-05 2.22950337937114 6 181 0.458563535911602 83 0.623762376237624
"59" 61 9.94475138121547 23.1160220994475 4.22070575956769e-05 2.22950337937114 6 181 0.458563535911602 83 0.623762376237624
"60" 62 9.94475138121547 23.1160220994475 4.22070575956769e-05 2.22950337937114 6 181 0.458563535911602 83 0.623762376237624
