id0 id1 time
"Gemfile" "LICENSE.txt" 1
"Gemfile" "README.md" 1
"Gemfile" "Rakefile" 1
"Gemfile" "lib/tty.rb" 1
"Gemfile" "lib/tty/version.rb" 1
"Gemfile" "spec/spec_helper.rb" 1
"Gemfile" "tty.gemspec" 1
"LICENSE.txt" "README.md" 1
"LICENSE.txt" "Rakefile" 1
"LICENSE.txt" "lib/tty.rb" 1
"LICENSE.txt" "lib/tty/version.rb" 1
"LICENSE.txt" "spec/spec_helper.rb" 1
"LICENSE.txt" "tty.gemspec" 1
"README.md" "Rakefile" 1
"README.md" "lib/tty.rb" 1
"README.md" "lib/tty/version.rb" 1
"README.md" "spec/spec_helper.rb" 1
"README.md" "tty.gemspec" 1
"Rakefile" "lib/tty.rb" 1
"Rakefile" "lib/tty/version.rb" 1
"Rakefile" "spec/spec_helper.rb" 1
"Rakefile" "tty.gemspec" 1
"lib/tty.rb" "lib/tty/version.rb" 1
"lib/tty.rb" "spec/spec_helper.rb" 1
"lib/tty.rb" "tty.gemspec" 1
"lib/tty/version.rb" "spec/spec_helper.rb" 1
"lib/tty/version.rb" "tty.gemspec" 1
"spec/spec_helper.rb" "tty.gemspec" 1
".gitignore" ".rspec" 2
".gitignore" ".rvmrc" 2
".gitignore" ".travis.yml" 2
".gitignore" ".yardopts" 2
".rspec" ".rvmrc" 2
".rspec" ".travis.yml" 2
".rspec" ".yardopts" 2
".rvmrc" ".travis.yml" 2
".rvmrc" ".yardopts" 2
".travis.yml" ".yardopts" 2
"lib/tty/color.rb" "lib/tty/support/utils.rb" 3
"lib/tty/color.rb" "lib/tty/table.rb" 3
"lib/tty/color.rb" "lib/tty/table/renderer.rb" 3
"lib/tty/color.rb" "lib/tty/table/renderer/basic.rb" 3
"lib/tty/color.rb" "lib/tty/table/renderer/color.rb" 3
"lib/tty/color.rb" "lib/tty/table/renderer/unicode.rb" 3
"lib/tty/color.rb" "spec/tty/color_spec.rb" 3
"lib/tty/color.rb" "spec/tty/table/each_spec.rb" 3
"lib/tty/color.rb" "spec/tty/table/renderer/basic_spec.rb" 3
"lib/tty/color.rb" "spec/tty/table/renderer_spec.rb" 3
"lib/tty/color.rb" "spec/tty/table/table_spec.rb" 3
"lib/tty/support/utils.rb" "lib/tty/table.rb" 3
"lib/tty/support/utils.rb" "lib/tty/table/renderer.rb" 3
"lib/tty/support/utils.rb" "lib/tty/table/renderer/basic.rb" 3
"lib/tty/support/utils.rb" "lib/tty/table/renderer/color.rb" 3
"lib/tty/support/utils.rb" "lib/tty/table/renderer/unicode.rb" 3
"lib/tty/support/utils.rb" "spec/tty/color_spec.rb" 3
"lib/tty/support/utils.rb" "spec/tty/table/each_spec.rb" 3
"lib/tty/support/utils.rb" "spec/tty/table/renderer/basic_spec.rb" 3
"lib/tty/support/utils.rb" "spec/tty/table/renderer_spec.rb" 3
"lib/tty/support/utils.rb" "spec/tty/table/table_spec.rb" 3
"lib/tty/table.rb" "lib/tty/table/renderer.rb" 3
"lib/tty/table.rb" "lib/tty/table/renderer/basic.rb" 3
"lib/tty/table.rb" "lib/tty/table/renderer/color.rb" 3
"lib/tty/table.rb" "lib/tty/table/renderer/unicode.rb" 3
"lib/tty/table.rb" "spec/tty/color_spec.rb" 3
"lib/tty/table.rb" "spec/tty/table/each_spec.rb" 3
"lib/tty/table.rb" "spec/tty/table/renderer/basic_spec.rb" 3
"lib/tty/table.rb" "spec/tty/table/renderer_spec.rb" 3
"lib/tty/table.rb" "spec/tty/table/table_spec.rb" 3
"lib/tty/table/renderer.rb" "lib/tty/table/renderer/basic.rb" 3
"lib/tty/table/renderer.rb" "lib/tty/table/renderer/color.rb" 3
"lib/tty/table/renderer.rb" "lib/tty/table/renderer/unicode.rb" 3
"lib/tty/table/renderer.rb" "spec/tty/color_spec.rb" 3
"lib/tty/table/renderer.rb" "spec/tty/table/each_spec.rb" 3
"lib/tty/table/renderer.rb" "spec/tty/table/renderer/basic_spec.rb" 3
"lib/tty/table/renderer.rb" "spec/tty/table/renderer_spec.rb" 3
"lib/tty/table/renderer.rb" "spec/tty/table/table_spec.rb" 3
"lib/tty/table/renderer/basic.rb" "lib/tty/table/renderer/color.rb" 3
"lib/tty/table/renderer/basic.rb" "lib/tty/table/renderer/unicode.rb" 3
"lib/tty/table/renderer/basic.rb" "spec/tty/color_spec.rb" 3
"lib/tty/table/renderer/basic.rb" "spec/tty/table/each_spec.rb" 3
"lib/tty/table/renderer/basic.rb" "spec/tty/table/renderer/basic_spec.rb" 3
"lib/tty/table/renderer/basic.rb" "spec/tty/table/renderer_spec.rb" 3
"lib/tty/table/renderer/basic.rb" "spec/tty/table/table_spec.rb" 3
"lib/tty/table/renderer/color.rb" "lib/tty/table/renderer/unicode.rb" 3
"lib/tty/table/renderer/color.rb" "spec/tty/color_spec.rb" 3
"lib/tty/table/renderer/color.rb" "spec/tty/table/each_spec.rb" 3
"lib/tty/table/renderer/color.rb" "spec/tty/table/renderer/basic_spec.rb" 3
"lib/tty/table/renderer/color.rb" "spec/tty/table/renderer_spec.rb" 3
"lib/tty/table/renderer/color.rb" "spec/tty/table/table_spec.rb" 3
"lib/tty/table/renderer/unicode.rb" "spec/tty/color_spec.rb" 3
"lib/tty/table/renderer/unicode.rb" "spec/tty/table/each_spec.rb" 3
"lib/tty/table/renderer/unicode.rb" "spec/tty/table/renderer/basic_spec.rb" 3
"lib/tty/table/renderer/unicode.rb" "spec/tty/table/renderer_spec.rb" 3
"lib/tty/table/renderer/unicode.rb" "spec/tty/table/table_spec.rb" 3
"spec/tty/color_spec.rb" "spec/tty/table/each_spec.rb" 3
"spec/tty/color_spec.rb" "spec/tty/table/renderer/basic_spec.rb" 3
"spec/tty/color_spec.rb" "spec/tty/table/renderer_spec.rb" 3
"spec/tty/color_spec.rb" "spec/tty/table/table_spec.rb" 3
"spec/tty/table/each_spec.rb" "spec/tty/table/renderer/basic_spec.rb" 3
"spec/tty/table/each_spec.rb" "spec/tty/table/renderer_spec.rb" 3
"spec/tty/table/each_spec.rb" "spec/tty/table/table_spec.rb" 3
"spec/tty/table/renderer/basic_spec.rb" "spec/tty/table/renderer_spec.rb" 3
"spec/tty/table/renderer/basic_spec.rb" "spec/tty/table/table_spec.rb" 3
"spec/tty/table/renderer_spec.rb" "spec/tty/table/table_spec.rb" 3
"lib/tty/support/delegatable.rb" "lib/tty/support/utils.rb" 6
"lib/tty/support/delegatable.rb" "spec/tty/support/delegatable_spec.rb" 6
"lib/tty/support/delegatable.rb" "spec/tty/support/fixtures/classes.rb" 6
"lib/tty/support/utils.rb" "spec/tty/support/delegatable_spec.rb" 6
"lib/tty/support/utils.rb" "spec/tty/support/fixtures/classes.rb" 6
"spec/tty/support/delegatable_spec.rb" "spec/tty/support/fixtures/classes.rb" 6
"lib/tty.rb" "lib/tty/table.rb" 7
"lib/tty.rb" "lib/tty/table/renderer.rb" 7
"lib/tty.rb" "spec/tty/table/renderer/basic_spec.rb" 7
"lib/tty.rb" "spec/tty/table/renderer_spec.rb" 7
"lib/tty/table.rb" "lib/tty/table/renderer.rb" 7
"lib/tty/table.rb" "spec/tty/table/renderer/basic_spec.rb" 7
"lib/tty/table.rb" "spec/tty/table/renderer_spec.rb" 7
"lib/tty/table/renderer.rb" "spec/tty/table/renderer/basic_spec.rb" 7
"lib/tty/table/renderer.rb" "spec/tty/table/renderer_spec.rb" 7
"spec/tty/table/renderer/basic_spec.rb" "spec/tty/table/renderer_spec.rb" 7
"spec/tty/table/initialize_spec.rb" "spec/tty/table/table_spec.rb" 8
"lib/tty.rb" "lib/tty/system.rb" 9
"lib/tty.rb" "spec/tty/system/platform_spec.rb" 9
"lib/tty/system.rb" "spec/tty/system/platform_spec.rb" 9
"lib/tty/terminal.rb" "spec/tty/terminal/size_spec.rb" 10
"lib/tty/table/renderer/basic.rb" "spec/tty/table/renderer/basic_spec.rb" 12
"lib/tty/table.rb" "lib/tty/table/renderer.rb" 13
"lib/tty/table.rb" "spec/tty/table/renderer/basic_spec.rb" 13
"lib/tty/table.rb" "spec/tty/table/table_spec.rb" 13
"lib/tty/table/renderer.rb" "spec/tty/table/renderer/basic_spec.rb" 13
"lib/tty/table/renderer.rb" "spec/tty/table/table_spec.rb" 13
"spec/tty/table/renderer/basic_spec.rb" "spec/tty/table/table_spec.rb" 13
"lib/tty/table.rb" "spec/tty/table/eql_spec.rb" 14
"lib/tty/table.rb" "spec/tty/table/access_spec.rb" 16
"lib/tty/table.rb" "spec/tty/table/properties_spec.rb" 17
"spec/tty/support/delegatable_spec.rb" "spec/tty/table/properties_spec.rb" 18
"spec/tty/support/delegatable_spec.rb" "spec/tty/terminal/size_spec.rb" 18
"spec/tty/table/properties_spec.rb" "spec/tty/terminal/size_spec.rb" 18
"lib/tty/color.rb" "lib/tty/table/renderer.rb" 19
"lib/tty/color.rb" "lib/tty/terminal.rb" 19
"lib/tty/table/renderer.rb" "lib/tty/terminal.rb" 19
"lib/tty/table.rb" "spec/tty/table/initialize_spec.rb" 20
"lib/tty.rb" "lib/tty/support/conversion.rb" 22
"lib/tty.rb" "spec/tty/support/conversion_spec.rb" 22
"lib/tty/support/conversion.rb" "spec/tty/support/conversion_spec.rb" 22
"lib/tty.rb" "lib/tty/table/error.rb" 23
"lib/tty/table.rb" "lib/tty/table/validatable.rb" 24
"lib/tty/table.rb" "spec/tty/table/validatable_spec.rb" 24
"lib/tty/table/validatable.rb" "spec/tty/table/validatable_spec.rb" 24
"lib/tty/table.rb" "lib/tty/table/renderer.rb" 25
"lib/tty/table.rb" "spec/tty/table/initialize_spec.rb" 29
"lib/tty/table.rb" "spec/tty/table/renderer/basic_spec.rb" 29
"spec/tty/table/initialize_spec.rb" "spec/tty/table/renderer/basic_spec.rb" 29
"lib/tty/table.rb" "spec/tty/table/empty_spec.rb" 30
"lib/tty.rb" "lib/tty/table/operation/alignment_set.rb" 31
"lib/tty.rb" "spec/tty/table/operation/alignment_set/align_rows_spec.rb" 31
"lib/tty.rb" "spec/tty/table/operation/alignment_set/each_spec.rb" 31
"lib/tty.rb" "spec/tty/table/operation/alignment_set/new_spec.rb" 31
"lib/tty.rb" "spec/tty/table/operation/alignment_set/to_ary_spec.rb" 31
"lib/tty/table/operation/alignment_set.rb" "spec/tty/table/operation/alignment_set/align_rows_spec.rb" 31
"lib/tty/table/operation/alignment_set.rb" "spec/tty/table/operation/alignment_set/each_spec.rb" 31
"lib/tty/table/operation/alignment_set.rb" "spec/tty/table/operation/alignment_set/new_spec.rb" 31
"lib/tty/table/operation/alignment_set.rb" "spec/tty/table/operation/alignment_set/to_ary_spec.rb" 31
"spec/tty/table/operation/alignment_set/align_rows_spec.rb" "spec/tty/table/operation/alignment_set/each_spec.rb" 31
"spec/tty/table/operation/alignment_set/align_rows_spec.rb" "spec/tty/table/operation/alignment_set/new_spec.rb" 31
"spec/tty/table/operation/alignment_set/align_rows_spec.rb" "spec/tty/table/operation/alignment_set/to_ary_spec.rb" 31
"spec/tty/table/operation/alignment_set/each_spec.rb" "spec/tty/table/operation/alignment_set/new_spec.rb" 31
"spec/tty/table/operation/alignment_set/each_spec.rb" "spec/tty/table/operation/alignment_set/to_ary_spec.rb" 31
"spec/tty/table/operation/alignment_set/new_spec.rb" "spec/tty/table/operation/alignment_set/to_ary_spec.rb" 31
"lib/tty/table/renderer/basic.rb" "spec/tty/table/renderer/basic_spec.rb" 33
"lib/tty.rb" "lib/tty/support/coercion.rb" 37
"lib/tty.rb" "spec/tty/support/coercion_spec.rb" 37
"lib/tty/support/coercion.rb" "spec/tty/support/coercion_spec.rb" 37
"lib/tty.rb" "spec/tty/table/operation/alignment/format_spec.rb" 38
"lib/tty.rb" "spec/tty/table/operation/alignment/new_spec.rb" 38
"spec/tty/table/operation/alignment/format_spec.rb" "spec/tty/table/operation/alignment/new_spec.rb" 38
"lib/tty/table/operation/alignment_set.rb" "spec/tty/table/operation/alignment_set/new_spec.rb" 39
"lib/tty/table.rb" "spec/tty/table/access_spec.rb" 43
"lib/tty/table/operation/alignment.rb" "lib/tty/table/operation/alignment_set.rb" 44
"lib/tty/table/operation/alignment.rb" "spec/tty/table/operation/alignment/format_spec.rb" 44
"lib/tty/table/operation/alignment_set.rb" "spec/tty/table/operation/alignment/format_spec.rb" 44
"lib/tty/table/renderer/basic.rb" "spec/tty/table/renderer/basic_spec.rb" 46
"Rakefile" "tasks/metrics/cane.rake" 49
"Rakefile" "tasks/metrics/flog.rake" 49
"Rakefile" "tasks/metrics/reek.rake" 49
"tasks/metrics/cane.rake" "tasks/metrics/flog.rake" 49
"tasks/metrics/cane.rake" "tasks/metrics/reek.rake" 49
"tasks/metrics/flog.rake" "tasks/metrics/reek.rake" 49
"lib/tty/table/renderer/color.rb" "lib/tty/table/renderer/unicode.rb" 50
"lib/tty/table.rb" "lib/tty/table/renderer/basic.rb" 52
"lib/tty/table.rb" "spec/tty/table/options_spec.rb" 52
"lib/tty/table/renderer/basic.rb" "spec/tty/table/options_spec.rb" 52
"lib/tty/table.rb" "spec/tty/table/initialize_spec.rb" 53
"lib/tty/support/equatable.rb" "spec/tty/support/equatable_spec.rb" 54
"lib/tty.rb" "lib/tty/table.rb" 55
"lib/tty.rb" "spec/tty/table/eql_spec.rb" 55
"lib/tty.rb" "spec/tty/table/options_spec.rb" 55
"lib/tty/table.rb" "spec/tty/table/eql_spec.rb" 55
"lib/tty/table.rb" "spec/tty/table/options_spec.rb" 55
"spec/tty/table/eql_spec.rb" "spec/tty/table/options_spec.rb" 55
"lib/tty/table.rb" "lib/tty/table/operation/alignment_set.rb" 57
"lib/tty/table.rb" "lib/tty/table/renderer/basic.rb" 57
"lib/tty/table.rb" "spec/tty/table/renderer/basic/alignment_spec.rb" 57
"lib/tty/table.rb" "spec/tty/table/renderer/basic/extract_column_widths_spec.rb" 57
"lib/tty/table.rb" "spec/tty/table/renderer/basic/new_spec.rb" 57
"lib/tty/table.rb" "spec/tty/table/renderer/basic/render_spec.rb" 57
"lib/tty/table.rb" "spec/tty/table/renderer/basic_spec.rb" 57
"lib/tty/table/operation/alignment_set.rb" "lib/tty/table/renderer/basic.rb" 57
"lib/tty/table/operation/alignment_set.rb" "spec/tty/table/renderer/basic/alignment_spec.rb" 57
"lib/tty/table/operation/alignment_set.rb" "spec/tty/table/renderer/basic/extract_column_widths_spec.rb" 57
"lib/tty/table/operation/alignment_set.rb" "spec/tty/table/renderer/basic/new_spec.rb" 57
"lib/tty/table/operation/alignment_set.rb" "spec/tty/table/renderer/basic/render_spec.rb" 57
"lib/tty/table/operation/alignment_set.rb" "spec/tty/table/renderer/basic_spec.rb" 57
"lib/tty/table/renderer/basic.rb" "spec/tty/table/renderer/basic/alignment_spec.rb" 57
"lib/tty/table/renderer/basic.rb" "spec/tty/table/renderer/basic/extract_column_widths_spec.rb" 57
"lib/tty/table/renderer/basic.rb" "spec/tty/table/renderer/basic/new_spec.rb" 57
"lib/tty/table/renderer/basic.rb" "spec/tty/table/renderer/basic/render_spec.rb" 57
"lib/tty/table/renderer/basic.rb" "spec/tty/table/renderer/basic_spec.rb" 57
"spec/tty/table/renderer/basic/alignment_spec.rb" "spec/tty/table/renderer/basic/extract_column_widths_spec.rb" 57
"spec/tty/table/renderer/basic/alignment_spec.rb" "spec/tty/table/renderer/basic/new_spec.rb" 57
"spec/tty/table/renderer/basic/alignment_spec.rb" "spec/tty/table/renderer/basic/render_spec.rb" 57
"spec/tty/table/renderer/basic/alignment_spec.rb" "spec/tty/table/renderer/basic_spec.rb" 57
"spec/tty/table/renderer/basic/extract_column_widths_spec.rb" "spec/tty/table/renderer/basic/new_spec.rb" 57
"spec/tty/table/renderer/basic/extract_column_widths_spec.rb" "spec/tty/table/renderer/basic/render_spec.rb" 57
"spec/tty/table/renderer/basic/extract_column_widths_spec.rb" "spec/tty/table/renderer/basic_spec.rb" 57
"spec/tty/table/renderer/basic/new_spec.rb" "spec/tty/table/renderer/basic/render_spec.rb" 57
"spec/tty/table/renderer/basic/new_spec.rb" "spec/tty/table/renderer/basic_spec.rb" 57
"spec/tty/table/renderer/basic/render_spec.rb" "spec/tty/table/renderer/basic_spec.rb" 57
"lib/tty/table/operation/alignment_set.rb" "spec/tty/table/operation/alignment_set/align_rows_spec.rb" 59
"lib/tty.rb" "lib/tty/table/operation/truncation.rb" 61
"lib/tty.rb" "spec/tty/table/operation/truncation/truncate_spec.rb" 61
"lib/tty/table/operation/truncation.rb" "spec/tty/table/operation/truncation/truncate_spec.rb" 61
"lib/tty/table/operation/alignment.rb" "lib/tty/table/operation/truncation.rb" 65
"lib/tty.rb" "lib/tty/table/operation.rb" 66
"lib/tty.rb" "lib/tty/table/operation/truncation.rb" 67
"lib/tty.rb" "lib/tty/table/operation/wrapped.rb" 67
"lib/tty.rb" "spec/tty/table/operation/wrapped/wrap_spec.rb" 67
"lib/tty/table/operation/truncation.rb" "lib/tty/table/operation/wrapped.rb" 67
"lib/tty/table/operation/truncation.rb" "spec/tty/table/operation/wrapped/wrap_spec.rb" 67
"lib/tty/table/operation/wrapped.rb" "spec/tty/table/operation/wrapped/wrap_spec.rb" 67
"lib/tty.rb" "lib/tty/vector.rb" 69
"lib/tty.rb" "spec/tty/vector/new_spec.rb" 69
"lib/tty/vector.rb" "spec/tty/vector/new_spec.rb" 69
"lib/tty/table.rb" "lib/tty/table/operation/alignment.rb" 70
"lib/tty/table.rb" "lib/tty/table/operation/alignment_set.rb" 70
"lib/tty/table.rb" "spec/tty/table/operation/alignment_set/new_spec.rb" 70
"lib/tty/table/operation/alignment.rb" "lib/tty/table/operation/alignment_set.rb" 70
