Id,Label,timeset,indegree,outdegree,degree,modularity_class,clustering,eigencentrality,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,pageranks
n1,README,,1,2,3,95,0.166667,0.000378,1,4,5,5,0.270846,0.291049,597.673223,0,0.000284
n2,bin/p6doc,,5,11,16,95,0.1,0.00155,9,18,27,4,0.344597,0.368111,13424.472615,0,0.001236
n3,lib/Any.pod,,2,34,36,1,0.378571,0.003629,2,46,48,5,0.265919,0.297434,10499.08658,0,0.001526
n4,lib/Str.pod,,30,7,37,1,0.370871,0.003685,50,10,60,6,0.220463,0.253516,59.913243,0,0.001532
n5,CREDITS,,0,3,3,136,0.5,0.012641,0,3,3,8,0.264555,0.311815,0,0,0.000174
n6,lib/Pod/To/SectionFilter.pm,,8,0,8,95,0.339286,0.000957,9,0,9,5,0.331444,0.349373,30.772222,0,0.000611
n7,lib/List.pod,,15,21,36,1,0.388095,0.003625,22,36,58,6,0.220407,0.252946,48.052434,0,0.001479
n8,LICENSE,,0,52,52,95,0.480769,0.011302,0,52,52,5,0.34514,0.386336,911.704716,0,0.001458
n9,lib/Pair.pod,,13,11,24,1,0.376812,0.002376,18,13,31,6,0.218922,0.244394,33.999517,0,0.001067
n10,lib/Enum.pod,,5,11,16,1,0.5,0.001661,7,12,19,6,0.218322,0.239453,0,0,0.000734
n11,lib/Buf.pod,,2,32,34,1,0.424242,0.003498,4,45,49,6,0.220296,0.251805,13.397975,0,0.001381
n12,lib/Bool.pod,,1,15,16,1,0.5,0.001661,1,20,21,6,0.218322,0.239453,0,0,0.000734
n13,lib/Int.pm,,6,10,16,1,0.5,0.001661,6,10,16,6,0.218322,0.239453,0,0,0.000734
n14,lib/Mu.pod,,17,20,37,1,0.361862,0.003695,24,30,54,5,0.272954,0.303668,16782.30502,0,0.00155
n15,lib/Range.pod,,21,13,34,1,0.424242,0.003498,28,17,45,6,0.220296,0.251805,13.397975,0,0.001381
