file,commits
grammars/perl6fe.cson, 243
package.json, 82
CHANGELOG.md, 60
spec/grammar-perl6fe-spec.coffee, 51
README.md, 35
dev/q-qq-Q-template.p6, 25
grammars/p6-regexp.cson, 16
grammars/perl6fe.quoting.cson, 15
CONTRIBUTING.md, 14
dev/replace.sh, 7
styles/styles.less, 5
settings/language-perl6fe.cson, 5
LICENSE.md, 4
appveyor.yml, 4
.gitignore, 4
ISSUE_TEMPLATE.md, 4
CREDITS, 4
.travis.yml, 4
grammars/perl6fe.regexp.cson, 3
dev/sample_text/Q_q_qq.p6, 3
coffeelint.json, 2
dev/unescape.p6, 1
.gitattributes, 1
lp6iym.p6, 1
.editorconfig, 1
grammars/perl6.cson, 1
dev/escape.p6, 1
grammars/perl6.regexp.cson, 1
dev/q-qq-Q-template.cson, 1
grammars/perl6.quoting.cson, 1
dev/benchmark.coffee, 1
grammars/meta-info.cson, 1
