file,commits
pandoc.cabal, 839
README, 648
src/Text/Pandoc/Readers/Markdown.hs, 536
src/Text/Pandoc/Shared.hs, 339
src/Text/Pandoc/Readers/LaTeX.hs, 325
src/Text/Pandoc/Writers/LaTeX.hs, 318
src/Text/Pandoc/Writers/HTML.hs, 308
changelog, 296
src/Text/Pandoc/Writers/Markdown.hs, 250
pandoc.hs, 240
src/Text/Pandoc/Parsing.hs, 229
src/pandoc.hs, 224
src/Text/Pandoc/Readers/RST.hs, 220
Makefile, 220
src/Text/Pandoc/Writers/EPUB.hs, 205
src/Text/Pandoc/Writers/Docx.hs, 203
src/Text/Pandoc/Readers/HTML.hs, 193
src/Text/Pandoc.hs, 181
data/templates, 181
src/Text/Pandoc/Options.hs, 140
tests/writer.latex, 137
src/Text/Pandoc/Writers/RST.hs, 128
src/Text/Pandoc/Readers/Textile.hs, 127
src/Text/Pandoc/Readers/DocBook.hs, 116
src/Text/Pandoc/Readers/Org.hs, 115
src/Text/Pandoc/Writers/Docbook.hs, 114
src/Text/Pandoc/Readers/Docx.hs, 112
tests/Tests/Readers/Org.hs, 108
src/Text/Pandoc/Writers/ConTeXt.hs, 107
src/Text/Pandoc/Readers/MediaWiki.hs, 105
templates, 103
.travis.yml, 101
tests/writer.html, 92
src/Text/Pandoc/Writers/RTF.hs, 87
src/Text/Pandoc/Writers/Man.hs, 86
INSTALL, 85
Setup.hs, 83
make_osx_package.sh, 81
src/Text/Pandoc/Templates.hs, 78
windows/stack.yaml, 75
stack.yaml, 75
tests/lhs-test.latex, 74
src/Text/Pandoc/Writers/DokuWiki.hs, 72
MANUAL.txt, 72
man/man1/pandoc.1.md, 72
src/Text/Pandoc/PDF.hs, 70
appveyor.yml, 69
debian/changelog, 69
deb/stack.yaml, 68
src/Text/Pandoc/Writers/OpenDocument.hs, 68
src/Text/Pandoc/Writers/ODT.hs, 67
tests/Tests/Old.hs, 66
tests/markdown-reader-more.native, 65
src/Text/Pandoc/Readers/Docx/Parse.hs, 64
tests/rst-reader.native, 62
tests/lhs-test.latex+lhs, 62
osx/stack.yaml, 61
src/Text/Pandoc/Class.hs, 60
src/Text/Pandoc/Biblio.hs, 60
tests/testsuite.native, 60
src/Text/Pandoc/Writers/MediaWiki.hs, 59
src/Text/Pandoc/Writers/Texinfo.hs, 59
tests/textile-reader.native, 57
tests/writer.native, 57
src/Text/Pandoc/Writers/Org.hs, 57
tests/writer.markdown, 56
tests/Tests/Readers/Docx.hs, 56
src/Main.hs, 55
windows/make-windows-installer.bat, 55
tests/Tests/Readers/Markdown.hs, 55
tests/writer.context, 53
tests/writer.docbook, 52
tests/latex-reader.native, 50
src/Text/Pandoc/Pretty.hs, 47
src/Text/Pandoc/SelfContained.hs, 47
Text/Pandoc/Readers/Markdown.hs, 47
tests/writer.rst, 46
src/Text/Pandoc/Writers/AsciiDoc.hs, 46
web/index.txt.in, 45
src/Text/Pandoc/Writers/Textile.hs, 45
tests/s5.fancy.html, 43
src/Text/Pandoc/Writers/ICML.hs, 42
src/Text/Pandoc/Readers/EPUB.hs, 42
tests/s5.basic.html, 41
tests/writer.rtf, 41
tests/writer.dokuwiki, 40
tests/mediawiki-reader.native, 40
src/Text/Pandoc/Readers/Org/Blocks.hs, 40
src/Text/Pandoc/Writers/FB2.hs, 40
tests/test-pandoc.hs, 40
tests/markdown-reader-more.txt, 38
tests/Tests/Readers/LaTeX.hs, 38
windows/pandoc-setup.iss, 38
windows/pandoc.wxs, 37
Main.hs, 37
src/Text/Pandoc/Highlighting.hs, 37
tests/html-reader.native, 36
Text/Pandoc/Writers/HTML.hs, 36
src/Text/Pandoc/UTF8.hs, 36
tests/s5.inserts.html, 35
tests/writer.man, 35
src/Text/Pandoc/ImageSize.hs, 35
tests/lhs-test.html+lhs, 35
src/markdown2pdf.hs, 35
tests/lhs-test.html, 34
tests/mediawiki-reader.wiki, 34
web/index.txt, 34
man/pandoc.1, 34
benchmark/benchmark-pandoc.hs, 33
stack.full.yaml, 33
tests/RunTests.hs, 32
tests/Tests/Writers/LaTeX.hs, 32
tests/writer.opendocument, 32
src/Text/Pandoc/Writers/Custom.hs, 32
RELEASE-CHECKLIST, 31
tests/textile-reader.textile, 31
debian/control, 31
Text/Pandoc/Shared.hs, 28
tests/Tests/Readers/RST.hs, 28
web/demos, 28
templates/latex.template, 28
src/Text/Pandoc/Definition.hs, 28
Text/Pandoc/Writers/OpenDocument.hs, 27
CONTRIBUTING.md, 26
src/Text/Pandoc/Readers/Txt2Tags.hs, 26
tests/rst-reader.rst, 26
tests/testsuite.txt, 26
make_deb.sh, 26
man/man1/markdown2pdf.1.md, 26
tests/Tests/Helpers.hs, 26
COPYRIGHT, 25
src/Text/Pandoc/MIME.hs, 25
tests/tables.latex, 24
src/Tests/Readers/Markdown.hs, 24
tests/s5.fragment.html, 23
tests/writer.mediawiki, 23
tests/docbook-reader.native, 23
src/Text/Pandoc/Readers/Haddock.hs, 22
src/Text/Pandoc/Readers/Org/Inlines.hs, 22
src/Text/Pandoc/XML.hs, 21
src/Text/Pandoc/Readers/TeXMath.hs, 20
tests/writer.textile, 20
src/Text/Pandoc/Slides.hs, 20
web/Makefile, 20
templates/html.template, 20
src/Text/Pandoc/Writers/Haddock.hs, 20
tests/runtests.pl, 19
src/Text/Pandoc/Writers/Shared.hs, 19
src/Text/Pandoc/Writers/Native.hs, 19
Text/Pandoc/Readers/HTML.hs, 19
tests/tables.html, 19
man/man1/pandoc.1, 19
tests/writer.texinfo, 19
src/Text/Pandoc/Writers/OPML.hs, 19
src/Text/Pandoc/Readers/TWiki.hs, 19
Text/Pandoc/Readers/LaTeX.hs, 19
src/Text/Pandoc/Error.hs, 18
src/Text/Pandoc/Readers/Odt/ContentReader.hs, 18
markdown2pdf, 18
src/Text/Pandoc/Readers/Org/ParserState.hs, 18
src/wrappers/markdown2pdf.in, 18
src/Text/Pandoc/App.hs, 17
src/Text/Pandoc/Writers/CommonMark.hs, 17
tests/Tests/Writers/ConTeXt.hs, 17
